doc_id,language,resource_level,forward_model,back_model,labse_published,labse_pooled,labse_aligned
immunize/flu_inactive,vietnamese,high,kimi-k2,gpt-5.1,0.9248594045639038,0.9862785935401917,0.7924154500166575
immunize/flu_inactive,vietnamese,high,kimi-k2,claude-opus-4.5,0.9223647713661194,0.9859973788261414,0.7927790383497874
immunize/flu_inactive,vietnamese,high,kimi-k2,gemini-3-pro,0.9142392873764038,0.9865956902503967,0.7912549575169882
immunize/flu_inactive,tagalog,low,kimi-k2,gpt-5.1,0.916122555732727,0.9896486401557922,0.7952777047952017
immunize/flu_inactive,tagalog,low,kimi-k2,claude-opus-4.5,0.9189855456352234,0.9905532598495483,0.7913540701071421
immunize/flu_inactive,tagalog,low,kimi-k2,gemini-3-pro,0.9192913770675659,0.9882566332817078,0.7927568852901459
immunize/flu_inactive,russian,high,kimi-k2,gpt-5.1,0.8983733654022217,0.9857354760169983,0.7896981835365295
immunize/flu_inactive,russian,high,kimi-k2,claude-opus-4.5,0.9031915068626404,0.986907422542572,0.7850927611192068
immunize/flu_inactive,russian,high,kimi-k2,gemini-3-pro,0.9026004672050476,0.9857513904571533,0.7855175932248434
immunize/flu_inactive,korean,medium,kimi-k2,gpt-5.1,0.8855915069580078,0.9901612401008606,0.7635159095128378
immunize/flu_inactive,korean,medium,kimi-k2,claude-opus-4.5,0.8880795240402222,0.9891069531440735,0.7526929477850596
immunize/flu_inactive,korean,medium,kimi-k2,gemini-3-pro,0.8913544416427612,0.9908894300460815,0.7645727495352427
immunize/flu_inactive,haitian_creole,low,kimi-k2,gpt-5.1,0.9181684851646423,0.9811683893203735,0.7239060912813459
immunize/flu_inactive,haitian_creole,low,kimi-k2,claude-opus-4.5,0.9160723090171814,0.9904410243034363,0.7968640029430389
immunize/flu_inactive,haitian_creole,low,kimi-k2,gemini-3-pro,0.9084455370903015,0.9819822311401367,0.7802000386374337
immunize/hepatitis_b,spanish,high,gpt-5.1,claude-opus-4.5,0.9939348697662354,0.9905221462249756,0.8937224405152457
immunize/hepatitis_b,spanish,high,gpt-5.1,gemini-3-pro,0.9924532175064087,0.9169343113899231,0.6486383506229946
immunize/hepatitis_b,chinese_simplified,high,gpt-5.1,claude-opus-4.5,0.9081965088844299,0.9880072474479675,0.7871504851749965
immunize/hepatitis_b,chinese_simplified,high,gpt-5.1,gemini-3-pro,0.917992115020752,0.9779161214828491,0.7642563240868705
immunize/hepatitis_b,vietnamese,high,gpt-5.1,claude-opus-4.5,0.9921008944511414,0.9870831370353699,0.8893755376338959
immunize/hepatitis_b,vietnamese,high,gpt-5.1,gemini-3-pro,0.9904111623764038,0.9144286513328552,0.6656547614506313
immunize/hepatitis_b,tagalog,low,gpt-5.1,claude-opus-4.5,0.9345089197158813,0.9643849730491638,0.6914731817586082
immunize/hepatitis_b,tagalog,low,gpt-5.1,gemini-3-pro,0.9469805955886841,0.971196711063385,0.7679758667945862
immunize/hepatitis_b,russian,high,gpt-5.1,claude-opus-4.5,0.9044656753540039,0.9795742630958557,0.7290715234620231
