doc_id,model,language,resource_level,doc_category,source_words,stale_reference,labse_published,labse_pooled,labse_aligned,prof_labse_published,prof_labse_pooled
immunize/flu_inactive,gpt-5.1,spanish,high,immunize,865,False,0.8920117616653442,0.9733036160469055,0.6952884729419436,0.9174442291259766,0.9854113459587097
immunize/flu_inactive,gpt-5.1,chinese_simplified,high,immunize,865,True,0.920653760433197,0.9896013736724854,0.8025949796040853,0.8636139035224915,0.9803726673126221
immunize/flu_inactive,gpt-5.1,vietnamese,high,immunize,865,True,0.9266651272773743,0.9910259246826172,0.7995112935702006,0.8744797706604004,0.9812129139900208
immunize/flu_inactive,gpt-5.1,tagalog,low,immunize,865,True,0.9115307331085205,0.9894380569458008,0.8085553546746572,0.9142035841941833,0.9850062131881714
immunize/flu_inactive,gpt-5.1,russian,high,immunize,865,True,0.9235111474990845,0.9728058576583862,0.702163210936955,0.8682680726051331,0.9809967875480652
immunize/flu_inactive,gpt-5.1,korean,medium,immunize,865,True,0.9192870855331421,0.9744749665260315,0.7072146960667202,0.9019782543182373,0.9786835312843323
immunize/flu_inactive,gpt-5.1,haitian_creole,low,immunize,865,True,0.918419599533081,0.9866616129875183,0.7897174102919442,0.8892366290092468,0.9775465130805969
immunize/flu_inactive,claude-opus-4.5,spanish,high,immunize,865,False,0.9882794618606567,0.9977514743804932,0.9846689303716024,0.9091085195541382,0.9813660979270935
immunize/flu_inactive,claude-opus-4.5,chinese_simplified,high,immunize,865,True,0.9824488162994385,0.9927821755409241,0.9396790067354838,0.8947300910949707,0.9803937673568726
immunize/flu_inactive,claude-opus-4.5,vietnamese,high,immunize,865,True,0.9927815198898315,0.9967738389968872,0.9797389010588328,0.8950819969177246,0.9692890048027039
immunize/flu_inactive,claude-opus-4.5,tagalog,low,immunize,865,True,0.9204864501953125,0.9916133880615234,0.7919571896394094,0.9259248375892639,0.9789149761199951
immunize/flu_inactive,claude-opus-4.5,russian,high,immunize,865,True,0.9893061518669128,0.9950992465019226,0.960938016573588,0.881033718585968,0.9800819754600525
immunize/flu_inactive,claude-opus-4.5,korean,medium,immunize,865,True,0.9587119221687317,0.9921931028366089,0.9361163278420767,0.9049911499023438,0.9666470289230347
